Far field
"Theta"[deg]	"Phi = 90 deg [dBi]"	"Phi = 0 deg [dBi]"	
-1.80000000E+02	-9.95587682E+00	-9.95587682E+00	
-1.78000000E+02	-9.90229987E+00	-9.96666486E+00	
-1.76000000E+02	-9.88355593E+00	-9.99895520E+00	
-1.74000000E+02	-9.89917062E+00	-1.00525242E+01	
-1.72000000E+02	-9.94880256E+00	-1.01269915E+01	
-1.70000000E+02	-1.00322242E+01	-1.02218084E+01	
-1.68000000E+02	-1.01493016E+01	-1.03362416E+01	
-1.66000000E+02	-1.02999720E+01	-1.04693519E+01	
-1.64000000E+02	-1.04842138E+01	-1.06199685E+01	
-1.62000000E+02	-1.07020081E+01	-1.07866586E+01	
-1.60000000E+02	-1.09532837E+01	-1.09676937E+01	
-1.58000000E+02	-1.12378389E+01	-1.11610132E+01	
-1.56000000E+02	-1.15552275E+01	-1.13641892E+01	
-1.54000000E+02	-1.19045943E+01	-1.15743944E+01	
-1.52000000E+02	-1.22844378E+01	-1.17883803E+01	
-1.50000000E+02	-1.26922720E+01	-1.20024713E+01	
-1.48000000E+02	-1.31241545E+01	-1.22125841E+01	
-1.46000000E+02	-1.35740523E+01	-1.24142818E+01	
-1.44000000E+02	-1.40330376E+01	-1.26028707E+01	
-1.42000000E+02	-1.44883722E+01	-1.27735453E+01	
-1.40000000E+02	-1.49226757E+01	-1.29215809E+01	
-1.38000000E+02	-1.53135994E+01	-1.30425620E+01	
-1.36000000E+02	-1.56346756E+01	-1.31326273E+01	
-1.34000000E+02	-1.58580608E+01	-1.31887002E+01	
-1.32000000E+02	-1.59593355E+01	-1.32086709E+01	
-1.30000000E+02	-1.59232244E+01	-1.31915012E+01	
-1.28000000E+02	-1.57477969E+01	-1.31372320E+01	
-1.26000000E+02	-1.54448660E+01	-1.30468955E+01	
-1.24000000E+02	-1.50363518E+01	-1.29223475E+01	
-1.22000000E+02	-1.45486365E+01	-1.27660497E+01	
-1.20000000E+02	-1.40074701E+01	-1.25808374E+01	
-1.18000000E+02	-1.34348391E+01	-1.23697012E+01	
-1.16000000E+02	-1.28478230E+01	-1.21356045E+01	
-1.14000000E+02	-1.22587657E+01	-1.18813487E+01	
-1.12000000E+02	-1.16760565E+01	-1.16094859E+01	
-1.10000000E+02	-1.11050521E+01	-1.13222749E+01	
-1.08000000E+02	-1.05489095E+01	-1.10216714E+01	
-1.06000000E+02	-1.00092532E+01	-1.07093424E+01	
-1.04000000E+02	-9.48667427E+00	-1.03866972E+01	
-1.02000000E+02	-8.98108975E+00	-1.00549257E+01	
-1.00000000E+02	-8.49199494E+00	-9.71503946E+00	
-9.80000000E+01	-8.01863701E+00	-9.36791203E+00	
-9.60000000E+01	-7.56013318E+00	-9.01431467E+00	
-9.40000000E+01	-7.11555005E+00	-8.65494758E+00	
-9.20000000E+01	-6.68395605E+00	-8.29046523E+00	
-9.00000000E+01	-6.26445540E+00	-7.92149615E+00	
-8.80000000E+01	-5.85620949E+00	-7.54865758E+00	
-8.60000000E+01	-5.45844953E+00	-7.17256563E+00	
-8.40000000E+01	-5.07048330E+00	-6.79384160E+00	
-8.20000000E+01	-4.69169788E+00	-6.41311530E+00	
-8.00000000E+01	-4.32155968E+00	-6.03102602E+00	
-7.80000000E+01	-3.95961254E+00	-5.64822188E+00	
-7.60000000E+01	-3.60547473E+00	-5.26535798E+00	
-7.40000000E+01	-3.25883503E+00	-4.88309388E+00	
-7.20000000E+01	-2.91944848E+00	-4.50209074E+00	
-7.00000000E+01	-2.58713166E+00	-4.12300842E+00	
-6.80000000E+01	-2.26175805E+00	-3.74650268E+00	
-6.60000000E+01	-1.94325317E+00	-3.37322251E+00	
-6.40000000E+01	-1.63158993E+00	-3.00380791E+00	
-6.20000000E+01	-1.32678399E+00	-2.63888788E+00	
-6.00000000E+01	-1.02888933E+00	-2.27907874E+00	
-5.80000000E+01	-7.37993928E-01	-1.92498276E+00	
-5.60000000E+01	-4.54215711E-01	-1.57718710E+00	
-5.40000000E+01	-1.77698624E-01	-1.23626287E+00	
-5.20000000E+01	9.13910325E-02	-9.02764500E-01	
-5.00000000E+01	3.52868076E-01	-5.77229158E-01	
-4.80000000E+01	6.06531700E-01	-2.60176349E-01	
-4.60000000E+01	8.52168528E-01	4.78924188E-02	
-4.40000000E+01	1.08955546E+00	3.46493909E-01	
-4.20000000E+01	1.31846231E+00	6.35163384E-01	
-4.00000000E+01	1.53865430E+00	9.13454809E-01	
-3.80000000E+01	1.74989430E+00	1.18094104E+00	
-3.60000000E+01	1.95194497E+00	1.43721400E+00	
-3.40000000E+01	2.14457067E+00	1.68188488E+00	
-3.20000000E+01	2.32753931E+00	1.91458430E+00	
-3.00000000E+01	2.50062391E+00	2.13496254E+00	
-2.80000000E+01	2.66360418E+00	2.34268969E+00	
-2.60000000E+01	2.81626786E+00	2.53745588E+00	
-2.40000000E+01	2.95841202E+00	2.71897149E+00	
-2.20000000E+01	3.08984414E+00	2.88696732E+00	
-2.00000000E+01	3.21038322E+00	3.04119485E+00	
-1.80000000E+01	3.31986067E+00	3.18142636E+00	
-1.60000000E+01	3.41812118E+00	3.30745522E+00	
-1.40000000E+01	3.50502348E+00	3.41909597E+00	
-1.20000000E+01	3.58044100E+00	3.51618457E+00	
-1.00000000E+01	3.64426246E+00	3.59857850E+00	
-8.00000000E+00	3.69639239E+00	3.66615693E+00	
-6.00000000E+00	3.73675160E+00	3.71882082E+00	
-4.00000000E+00	3.76527750E+00	3.75649305E+00	
-2.00000000E+00	3.78192444E+00	3.77911847E+00	
0.00000000E+00	3.78666395E+00	3.78666395E+00	
2.00000000E+00	3.77948489E+00	3.77911847E+00	
4.00000000E+00	3.76039354E+00	3.75649305E+00	
6.00000000E+00	3.72941371E+00	3.71882082E+00	
8.00000000E+00	3.68658662E+00	3.66615693E+00	
1.00000000E+01	3.63197089E+00	3.59857850E+00	
1.20000000E+01	3.56564233E+00	3.51618457E+00	
1.40000000E+01	3.48769376E+00	3.41909598E+00	
1.60000000E+01	3.39823464E+00	3.30745522E+00	
1.80000000E+01	3.29739081E+00	3.18142637E+00	
2.00000000E+01	3.18530391E+00	3.04119485E+00	
