Excitation
"Frequency"[Hz]	"FuenteDeTension [dB]"	
2.00000000E+09	-5.60786482E-01	
2.00503145E+09	-5.64699292E-01	
2.01006289E+09	-5.68845882E-01	
2.01509434E+09	-5.73272338E-01	
2.02012579E+09	-5.77928680E-01	
2.02515723E+09	-5.82881561E-01	
2.03018868E+09	-5.88111764E-01	
2.03522013E+09	-5.93645260E-01	
2.04025157E+09	-5.99429168E-01	
2.04528302E+09	-6.05517388E-01	
2.05031447E+09	-6.11877985E-01	
2.05534591E+09	-6.18555010E-01	
2.06037736E+09	-6.25520096E-01	
2.06540881E+09	-6.32797596E-01	
2.07044025E+09	-6.40387766E-01	
2.07547170E+09	-6.48292399E-01	
2.08050314E+09	-6.56551560E-01	
2.08553459E+09	-6.65148992E-01	
2.09056604E+09	-6.74109498E-01	
2.09559748E+09	-6.83469171E-01	
2.10062893E+09	-6.93205520E-01	
2.10566038E+09	-7.03380206E-01	
2.11069182E+09	-7.14001254E-01	
2.11572327E+09	-7.25091799E-01	
2.12075472E+09	-7.36695746E-01	
2.12578616E+09	-7.48795021E-01	
2.13081761E+09	-7.61452046E-01	
2.13584906E+09	-7.74714549E-01	
2.14088050E+09	-7.88628996E-01	
2.14591195E+09	-8.03211405E-01	
2.15094340E+09	-8.18521854E-01	
2.15597484E+09	-8.34621885E-01	
2.16100629E+09	-8.51549999E-01	
2.16603774E+09	-8.69362071E-01	
2.17106918E+09	-8.88146107E-01	
2.17610063E+09	-9.07980383E-01	
2.18113208E+09	-9.28921777E-01	
2.18616352E+09	-9.51070317E-01	
2.19119497E+09	-9.74554813E-01	
2.19622642E+09	-9.99430385E-01	
2.20125786E+09	-1.02581751E+00	
2.20628931E+09	-1.05392231E+00	
2.21132075E+09	-1.08382597E+00	
2.21635220E+09	-1.11574103E+00	
2.22138365E+09	-1.14980284E+00	
2.22641509E+09	-1.18621314E+00	
2.23144654E+09	-1.22519726E+00	
2.23647799E+09	-1.26708367E+00	
